"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2015 VK170)",43.67,0.0476,2.21,102.24,234.77,41.594,45.75,289,828,4,33,,,7.40
"       (2015 VL170)",40.34,0.0659,26.73,55.03,357.54,37.681,43.00,256,846,5,34,,,8.50
"       (2015 VM170)",45.64,0.1365,5.71,204.96,218.03,39.407,51.87,308,1122,4,36,,,8.30
"       (2015 VN170)",41.9,0.1083,16.41,223.31,232.22,37.364,46.44,271,828,5,32,,,7.90
"       (2015 VO170)",44.24,0.0349,2.91,109.78,171.83,42.697,45.78,294,740,5,31,,,8.00
"       (2015 VP170)",46.42,0.1311,5.92,80.49,36.50,40.332,52.50,316,828,5,31,,,8.10
"       (2015 VQ170)",42.85,0.1469,10.55,51.18,38.07,36.555,49.15,281,802,4,35,,,8.70
"       (2015 VR170)",43.59,0.0393,1.61,53.13,265.93,41.877,45.30,288,828,4,39,,,8.50
"       (2015 VS170)",41.72,0.0270,18.13,50.24,326.94,40.596,42.85,269,831,5,25,,,8.50
"       (2015 VT170)",43.74,0.0236,1.15,249.84,53.83,42.708,44.78,289,831,5,39,,,8.00
"       (2015 VU170)",43.01,0.0307,1.84,48.92,92.06,41.689,44.33,282,739,4,29,,,8.90
"       (2015 VV170)",43.53,0.0311,0.91,30.97,307.72,42.174,44.88,287,739,4,33,,,8.80
"       (2015 VW170)",46.11,0.0428,1.03,231.92,108.99,44.131,48.08,313,828,4,36,,,7.70
"       (2015 VX170)",47.01,0.0697,2.64,48.53,57.74,43.734,50.28,322,744,5,26,,,8.60
"       (2015 VY170)",43.48,0.0260,1.76,43.81,331.70,42.354,44.62,287,744,5,32,,,7.50
"       (2015 VZ170)",44.57,0.0862,4.18,56.68,253.60,40.728,48.42,298,828,5,34,,,8.30
"       (2015 VA171)",43.25,0.0413,1.20,189.11,159.64,41.462,45.03,284,1123,4,30,,,8.90
"       (2015 VB171)",44.11,0.0730,2.38,83.63,174.37,40.894,47.33,293,832,5,31,,,7.70
"       (2015 VC171)",44.76,0.0579,3.59,67.54,38.50,42.166,47.35,299,826,5,28,,,8.40
"       (2015 VD171)",46.91,0.1126,2.78,214.21,228.65,41.626,52.19,321,831,5,29,,,8.50
"       (2015 VE171)",44.27,0.0831,1.82,81.40,108.64,40.592,47.95,295,831,5,36,,,8.00
"       (2015 VF171)",43.02,0.1031,18.08,54.94,21.10,38.586,47.46,282,855,5,29,,,7.90
"       (2015 VG171)",42.89,0.0118,6.09,59.14,181.46,42.384,43.40,281,828,5,27,,,8.90
"       (2015 VH171)",45.21,0.1046,2.46,69.89,19.30,40.479,49.94,304,828,5,28,,,7.70
"       (2015 VJ171)",46.68,0.1740,21.63,53.58,358.35,38.555,54.80,319,744,5,31,,,8.90
"       (2015 VK171)",43.43,0.0633,5.12,67.27,101.89,40.681,46.18,286,826,5,28,,,8.50
"       (2015 VL171)",47.19,0.0430,1.60,115.67,20.44,45.159,49.22,324,746,4,27,,,7.70
"       (2015 VM171)",44.28,0.0957,2.04,85.96,97.96,40.043,48.52,295,831,6,25,,,8.30
"       (2015 VN171)",44.03,0.0236,2.63,86.87,137.19,42.986,45.07,292,858,5,38,,,7.80
"       (2015 VO171)",44.41,0.0608,2.86,88.57,279.78,41.710,47.11,296,1036,4,39,,,7.70
"       (2015 VP171)",43.66,0.0493,3.93,76.38,19.45,41.504,45.81,288,858,5,37,,,8.40
"       (2015 VQ171)",45.54,0.1247,13.25,59.49,276.10,39.859,51.22,307,1125,3,37,,,8.20
"       (2015 VR171)",45.51,0.0671,5.64,209.55,114.20,42.451,48.56,307,1125,4,38,,,8.30
"       (2015 VS171)",44.47,0.0766,2.95,82.45,233.89,41.065,47.88,297,858,5,29,,,8.40
"       (2015 VT171)",43.67,0.0534,2.35,171.85,195.49,41.341,46.00,289,1125,4,36,,,8.70
"       (2015 VU171)",43.93,0.0267,2.60,89.25,314.63,42.757,45.11,291,773,5,34,,,7.50
"       (2015 VV171)",46.26,0.1763,2.73,181.43,283.66,38.103,54.41,315,1125,4,36,,,9.00
"       (2015 VW171)",43.57,0.0082,2.35,146.04,219.14,43.211,43.93,288,1125,5,36,,,8.30
"       (2015 VX171)",45.53,0.1024,6.55,200.79,83.29,40.869,50.19,307,773,5,34,,,7.00
"       (2015 VY171)",43.42,0.0293,3.00,113.48,235.02,42.148,44.69,286,1125,4,37,,,8.60
"       (2015 VZ171)",44.59,0.0794,2.83,117.96,87.89,41.047,48.12,298,1125,5,29,,,8.00
"       (2015 VA172)",44.56,0.0730,3.01,113.34,327.45,41.304,47.81,297,1125,4,41,,,7.40
"       (2015 VC172)",47.04,0.1324,4.07,105.26,139.44,40.812,53.27,323,2694,5,33,,,6.78
"       (2015 VD172)",42.38,0.1202,5.11,82.72,35.02,37.287,47.48,276,1125,4,41,,,8.10
"       (2015 VE172)",44.14,0.0637,3.70,105.33,184.72,41.323,46.95,293,858,5,35,,,8.40
"       (2015 VF172)",43.75,0.0280,2.92,162.82,271.10,42.525,44.97,289,1123,5,31,,,8.60
"       (2015 VG172)",44.32,0.0838,3.43,118.81,168.35,40.606,48.04,295,858,6,26,,,8.60
"       (2015 VH172)",44.16,0.0625,2.88,156.24,15.78,41.401,46.92,293,826,5,27,,,8.60
"       (2015 VJ172)",44.26,0.0852,1.44,50.00,49.44,40.487,48.03,294,855,5,32,,,8.50
"       (2015 VK172)",46.37,0.1380,1.93,235.76,196.10,39.969,52.76,316,508,6,18,,,9.70
"       (2015 VL172)",43.96,0.1178,3.69,48.92,351.64,38.783,49.14,291,734,5,27,,,9.30
"       (2015 VM172)",46.23,0.0847,1.50,52.13,335.11,42.320,50.15,314,855,5,30,,,8.50
"       (2015 VN172)",45.95,0.0466,2.02,48.58,230.03,43.814,48.09,312,2278,4,27,,,7.64
"       (2015 VO172)",43.74,0.1239,8.60,226.38,87.79,38.319,49.15,289,1125,4,42,,,8.40
"       (2015 VP172)",45.67,0.1400,3.46,225.43,53.16,39.276,52.06,309,1122,5,39,,,7.40
"       (2015 VQ172)",44.11,0.0352,0.96,49.21,84.97,42.557,45.66,293,510,5,27,,,7.40
"       (2015 VR172)",45.78,0.0314,1.59,80.73,69.53,44.336,47.21,310,1125,4,51,,,6.90
"       (2015 VS172)",46.59,0.0436,0.59,180.23,93.79,44.559,48.63,318,858,5,32,,,7.50
"       (2015 VT172)",44.66,0.0447,0.99,221.83,238.34,42.666,46.66,298,858,5,29,,,8.70
