"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"614575 (2009 WJ105)",1.823,0.1000,19.16,241.63,182.09,1.641,2.01,2.46,6802,0,91,,,18.60
"614591 (2009 XT22)",2.618,0.4194,32.53,298.80,221.55,1.520,3.72,4.24,6304,0,194,,,16.29
"614620 (2010 CW225)",3.132,0.4970,22.65,225.87,68.62,1.575,4.69,5.54,6231,0,143,,,17.16
"614654 (2010 JZ86)",2.619,0.3794,13.79,68.52,217.91,1.625,3.61,4.24,6221,0,107,,,17.78
"614663 (2010 KO118)",2.601,0.3697,31.17,122.46,241.99,1.640,3.56,4.2,5725,0,170,,,16.81
"614668 (2010 MR5)",2.394,0.4119,13.69,195.08,97.84,1.408,3.38,3.7,5704,0,243,,,18.49
"614674 (2010 OW)",2.662,0.4731,20.84,214.52,200.16,1.402,3.92,4.34,5951,0,257,,,16.37
"614758 (1999 RP90)",2.621,0.4179,8.49,154.38,223.19,1.526,3.72,4.24,7727,0,154,,,18.37
"614762 (1999 TT2)",1.778,0.0765,20.43,358.74,28.70,1.642,1.91,2.37,8236,0,113,,,19.02
"614792 (1999 VE233)",2.26,0.2797,3.70,62.23,268.98,1.628,2.89,3.4,7198,0,62,,,19.14
"614849 (2000 QB224)",2.163,0.2358,4.92,192.31,123.68,1.653,2.67,3.18,8030,0,170,,,18.52
"614862 (2000 SZ37)",2.42,0.3264,3.51,139.99,202.33,1.630,3.21,3.76,7941,0,170,,,18.28
"614910 (2001 KX2)",3.117,0.4768,24.76,56.79,242.80,1.631,4.60,5.5,8095,0,132,,,16.65
"614928 (2001 MC22)",2.344,0.2974,7.03,305.87,27.39,1.647,3.04,3.59,7637,0,178,,,18.27
"614933 (2001 OK59)",2.621,0.3856,9.13,140.11,197.42,1.610,3.63,4.24,7682,0,322,,,17.59
"614946 (2001 QB98)",2.329,0.2893,7.15,156.04,186.11,1.655,3.00,3.55,7645,0,145,,,18.15
"614947 (2001 QW150)",1.853,0.1353,17.64,258.25,122.34,1.602,2.10,2.52,7952,0,60,,,18.52
"614950 (2001 QK205)",2.348,0.3541,3.95,70.79,259.02,1.516,3.18,3.6,7538,0,132,,,18.56
"615005 (2001 UM11)",2.608,0.3832,27.88,216.05,75.59,1.608,3.61,4.21,7700,0,191,,,16.96
"615053 (2001 XZ31)",2.381,0.3130,21.32,292.59,112.50,1.636,3.13,3.67,6998,0,69,,,18.00
"615126 (2002 NO83)",2.224,0.3611,3.80,255.86,131.98,1.421,3.03,3.32,7488,0,310,,,18.63
"615173 (2002 PE200)",2.223,0.2535,4.29,99.55,229.30,1.660,2.79,3.31,7435,0,129,,,18.98
"615198 (2002 QG83)",2.384,0.3033,4.90,173.92,117.96,1.661,3.11,3.68,6515,0,87,,,19.19
"615289 (2002 TS80)",2.621,0.3736,5.15,208.55,112.29,1.642,3.60,4.24,7589,0,114,,,18.19
"615366 (2002 XD65)",1.881,0.1430,18.66,298.71,117.73,1.612,2.15,2.58,8420,0,184,,,17.96
"615368 (2002 XV68)",2.282,0.2869,23.44,44.06,47.72,1.627,2.94,3.45,7206,0,110,,,17.89
"615396 (2003 EW56)",2.175,0.3125,31.21,28.88,172.93,1.495,2.86,3.21,6980,0,209,,,18.32
"615443 (2003 QJ112)",2.612,0.3631,8.15,143.09,194.20,1.664,3.56,4.22,6372,0,202,,,17.50
"615451 (2003 SS14)",2.183,0.2379,3.04,4.64,343.50,1.664,2.70,3.22,6875,0,183,,,18.72
"615452 (2003 SO16)",2.617,0.4314,8.00,210.02,218.07,1.488,3.75,4.23,6328,0,255,,,18.43
"615454 (2003 SA23)",2.626,0.4004,27.42,359.66,78.83,1.575,3.68,4.26,6311,0,299,,,17.29
"615514 (2003 SZ435)",2.191,0.2427,8.19,54.09,279.37,1.659,2.72,3.24,6849,0,111,,,18.40
"615555 (2003 TU60)",2.645,0.4057,6.33,76.63,359.23,1.572,3.72,4.3,6192,0,133,,,18.28
"615575 (2003 UR117)",2.62,0.4430,15.35,40.24,67.38,1.459,3.78,4.24,6318,0,248,,,17.99
"615612 (2003 UJ419)",2.603,0.4142,8.87,303.83,130.10,1.525,3.68,4.2,7714,0,97,,,18.95
"615885 (2004 RJ202)",2.131,0.2684,5.80,236.84,85.45,1.559,2.70,3.11,6400,1,43,,,18.95
"615989 (2004 YK40)",2.211,0.2702,5.39,66.05,340.58,1.614,2.81,3.29,6305,0,141,,,18.53
"616141 (2005 MC12)",2.279,0.3004,5.92,289.87,29.26,1.594,2.96,3.44,7136,0,155,,,18.39
"616150 (2005 NV20)",2.279,0.3308,10.27,80.88,239.76,1.525,3.03,3.44,6175,0,150,,,18.10
"616167 (2005 OF2)",2.286,0.2712,5.68,79.37,235.76,1.666,2.91,3.46,6178,0,107,,,18.39
"616179 (2005 PY1)",2.32,0.3462,6.63,2.32,337.33,1.517,3.12,3.53,6093,0,223,,,18.20
"616289 (2005 SF132)",2.401,0.3139,21.96,16.44,69.60,1.647,3.15,3.72,5620,0,227,,,17.44
"616291 (2005 SQ163)",2.268,0.2804,3.97,147.96,195.39,1.632,2.90,3.42,6293,0,305,,,17.93
"616292 (2005 SM166)",2.229,0.2548,6.39,46.63,309.28,1.661,2.80,3.33,6323,0,232,,,18.19
"616320 (2005 TS28)",2.381,0.3485,5.57,249.86,113.79,1.552,3.21,3.68,5618,0,191,,,18.46
"616328 (2005 TO50)",2.381,0.3007,10.44,213.35,102.61,1.665,3.10,3.67,8040,0,121,,,18.49
"616372 (2005 UR6)",2.383,0.3299,7.65,68.92,318.13,1.597,3.17,3.68,5587,0,149,,,18.73
"616392 (2005 UD159)",2.322,0.2855,22.64,46.00,256.55,1.659,2.98,3.54,6062,0,87,,,18.45
