"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 QR30)",3.201,0.0340,9.90,278.27,59.30,3.092,3.31,5.73,4546,0,52,,,17.07
"       (2020 QQ38)",3.203,0.2397,13.72,219.31,124.72,2.435,3.97,5.73,3993,2,37,,,17.80
"       (2020 QW42)",3.507,0.0704,7.08,93.63,239.74,3.260,3.75,6.57,53,4,22,,,16.60
"       (2020 QJ46)",3.202,0.1915,14.47,222.07,142.20,2.589,3.82,5.73,6233,1,49,,,16.90
"       (2020 QM46)",3.209,0.1887,16.47,216.52,158.54,2.604,3.81,5.75,3090,1,42,,,17.73
"       (2020 QN46)",3.412,0.1130,8.65,301.68,85.99,3.027,3.80,6.3,3496,0,61,,,16.85
"       (2020 QO46)",3.212,0.2643,14.64,205.56,162.46,2.363,4.06,5.76,105,4,29,,,18.10
"       (2020 QE48)",3.202,0.2857,9.13,245.16,108.93,2.287,4.12,5.73,50,4,23,,,18.20
"       (2020 QJ50)",3.207,0.1194,8.00,16.69,28.18,2.824,3.59,5.74,6646,0,38,,,17.39
"       (2020 QX51)",3.213,0.1162,26.40,215.63,191.15,2.840,3.59,5.76,3994,1,21,,,17.10
"       (2020 QH53)",3.244,0.1635,9.29,318.91,70.42,2.714,3.77,5.84,6662,1,27,,,17.50
"       (2020 QX54)",3.552,0.0326,17.18,333.25,329.39,3.436,3.67,6.69,2188,1,34,,,16.35
"       (2020 QG58)",3.213,0.2181,23.45,206.43,147.30,2.512,3.91,5.76,58,5,19,,,17.90
"       (2020 QT59)",3.204,0.1884,11.50,357.89,41.14,2.600,3.81,5.73,6208,2,27,,,17.61
"       (2020 QP60)",3.94,0.2443,8.71,203.05,85.67,2.978,4.90,7.82,31,7,26,,,16.50
"       (2020 QZ60)",3.207,0.1982,17.79,355.43,352.57,2.571,3.84,5.74,31,5,23,,,17.90
"       (2020 QQ62)",3.929,0.2135,3.79,143.36,263.80,3.090,4.77,7.79,61,5,18,,,16.50
"       (2020 QR65)",3.218,0.0701,8.82,272.80,359.28,2.992,3.44,5.77,3514,0,32,,,16.80
"       (2020 QE66)",3.968,0.2195,2.11,218.05,71.89,3.097,4.84,7.9,2973,3,26,,,16.50
"       (2020 QY66)",3.201,0.1290,18.60,352.51,48.44,2.788,3.61,5.73,36,5,13,,,17.60
